Date,Date,Close,Change,Change (%),Open,High,Low,Volume
2022-09-15,2022-09-15,31.02,-0.12,-0.39%,30.92,31.23,30.8,45553200
2022-09-14,2022-09-14,31.14,0.53,1.73%,30.75,31.43,30.63,49039700
2022-09-13,2022-09-13,30.61,-0.94,-2.98%,30.94,31.44,30.52,88327800
2022-09-12,2022-09-12,31.55,-0.21,-0.66%,32.15,32.73,31.46,71374500
2022-09-09,2022-09-09,31.76,-0.13,-0.41%,32.49,32.67,31.7,49871900
2022-09-08,2022-09-08,31.89,-0.23,-0.72%,32.31,32.78,31.4,63159800
2022-09-07,2022-09-07,32.12,0.0,+0.00%,32.27,32.59,31.51,0
2022-09-06,2022-09-06,32.12,-1.11,-3.34%,32.27,32.59,31.51,111813500
2022-09-05,2022-09-05,33.23,-0.15,-0.45%,33.85,34.11,33.15,76337600
2022-09-02,2022-09-02,33.38,-0.49,-1.45%,34.44,34.57,33.26,81792300
2022-09-01,2022-09-01,33.87,0.61,1.83%,33.36,33.95,32.76,69184700
2022-08-31,2022-08-31,33.26,0.91,2.81%,32.07,33.44,31.82,114235400
2022-08-30,2022-08-30,32.35,-2.02,-5.88%,34.0,34.22,32.25,99361100
2022-08-29,2022-08-29,34.37,0.83,2.47%,33.55,35.08,33.45,73339500
2022-08-26,2022-08-26,33.54,0.48,1.45%,33.28,33.67,32.57,63545400
2022-08-25,2022-08-25,33.06,-0.5,-1.49%,34.1,34.36,32.67,99511600
2022-08-24,2022-08-24,33.56,0.11,0.33%,33.54,34.12,33.25,61067900
2022-08-23,2022-08-23,33.45,1.13,3.5%,32.63,33.5,32.62,73215800
2022-08-22,2022-08-22,32.32,0.58,1.83%,31.74,32.58,30.48,92400300
2022-08-19,2022-08-19,31.74,-1.66,-4.97%,32.92,33.15,31.33,125178200
2022-08-18,2022-08-18,33.4,0.68,2.08%,33.1,33.66,32.87,84552500
2022-08-17,2022-08-17,32.72,0.71,2.22%,31.65,32.82,31.6,72924700
2022-08-16,2022-08-16,32.01,0.41,1.3%,31.72,32.07,31.5,64218800
2022-08-15,2022-08-15,31.6,-0.07,-0.22%,30.88,32.23,30.55,96759000
2022-08-12,2022-08-12,31.67,-4.62,-12.73%,29.1,31.83,29.08,171288300
2022-08-11,2022-08-11,36.29,-0.81,-2.18%,37.45,37.86,36.18,128896500
